id,parentProductId,title,categories,description,quantity,price,active
2124-variation-0,2124,Echinocereus subinermis,,"<p>Echinocereus subinermis (Synonyms: Echinocereus luteus, Echinocereus ochoterenae)</p>",25 seeds,1.50,instock
2124-variation-1,2124,Echinocereus subinermis,,"<p>Echinocereus subinermis (Synonyms: Echinocereus luteus, Echinocereus ochoterenae)</p>",100 seeds,3.50,instock
2124-variation-2,2124,Echinocereus subinermis,,"<p>Echinocereus subinermis (Synonyms: Echinocereus luteus, Echinocereus ochoterenae)</p>",500 seeds,13.50,instock
2124-variation-3,2124,Echinocereus subinermis,,"<p>Echinocereus subinermis (Synonyms: Echinocereus luteus, Echinocereus ochoterenae)</p>","1,000 seeds",25.00,instock
2124-variation-4,2124,Echinocereus subinermis,,"<p>Echinocereus subinermis (Synonyms: Echinocereus luteus, Echinocereus ochoterenae)</p>","5,000 seeds",75.00,instock
2125,,Echinocereus marksianus,"SEEDS  Cacti E,Cacti Seed List (A to Z),Echinocereus,CACTI SEED INDEX",<p>Echinocereus marksianus.</p>,,,instock
2125-variation-0,2125,Echinocereus marksianus,,<p>Echinocereus marksianus.</p>,25 seeds,1.75,instock
2126,,Echinocereus melanocentra,"SEEDS  Cacti E,Cacti Seed List (A to Z),Echinocereus,CACTI SEED INDEX",<p>Echinocereus melanocentra</p>,,,outofstock
2126-variation-0,2126,Echinocereus melanocentra,,<p>Echinocereus melanocentra</p>,500 seeds,15.00,outofstock
2126-variation-1,2126,Echinocereus melanocentra,,<p>Echinocereus melanocentra</p>,"1,000 seeds",25.00,outofstock
2127,,Echinocactus merkeri,"SEEDS  Cacti E,Cacti Seed List (A to Z),Echinocactus,CACTI SEED INDEX",<p>Echinocactus merkeri</p>,,,outofstock
2127-variation-0,2127,Echinocactus merkeri,,<p>Echinocactus merkeri</p>,500 seeds,12.00,outofstock
2127-variation-1,2127,Echinocactus merkeri,,<p>Echinocactus merkeri</p>,"1,000 seeds",20.00,outofstock
2127-variation-2,2127,Echinocactus merkeri,,<p>Echinocactus merkeri</p>,"5,000 seeds",65.00,outofstock
2127-variation-3,2127,Echinocactus merkeri,,<p>Echinocactus merkeri</p>,"10,000 seeds",95.00,outofstock
2128,,Echinocereus lauii,"SEEDS  Cacti E,Cacti Seed List (A to Z),Echinocereus,CACTI SEED INDEX",<p><span>Echinocereus&nbsp; </span>lauii</p>,,,outofstock
2128-variation-0,2128,Echinocereus lauii,,<p><span>Echinocereus&nbsp; </span>lauii</p>,500 seeds,20.00,outofstock
2128-variation-1,2128,Echinocereus lauii,,<p><span>Echinocereus&nbsp; </span>lauii</p>,"1,000 seeds",30.00,outofstock
2129,,Weberbauerocereus arboreus,"SEEDS  Cacti U to Z,Cacti Seed List (A to Z),Weberbauerocereus,CACTI SEED INDEX",<p>Weberbauerocereus arboreus.</p>,,,instock
2129-variation-0,2129,Weberbauerocereus arboreus,,<p>Weberbauerocereus arboreus.</p>,25 seeds,1.5,instock
2129-variation-1,2129,Weberbauerocereus arboreus,,<p>Weberbauerocereus arboreus.</p>,100 seeds,3.5,instock
2129-variation-2,2129,Weberbauerocereus arboreus,,<p>Weberbauerocereus arboreus.</p>,500 seeds,13.5,instock
2129-variation-3,2129,Weberbauerocereus arboreus,,<p>Weberbauerocereus arboreus.</p>,"1,000 seeds",22.00,instock
2129-variation-4,2129,Weberbauerocereus arboreus,,<p>Weberbauerocereus arboreus.</p>,"5,000 seeds",70.00,instock
2130,,Weberbauerocereus fascicularis,"SEEDS  Cacti U to Z,Cacti Seed List (A to Z),Weberbauerocereus,CACTI SEED INDEX",<p>Weberbauerocereus fascicularis</p>,,,outofstock
2130-variation-0,2130,Weberbauerocereus fascicularis,,<p>Weberbauerocereus fascicularis</p>,25 seeds,1.75,outofstock
2131,,Weberbauerocereus johnsonii,"SEEDS  Cacti U to Z,Cacti Seed List (A to Z),Weberbauerocereus,CACTI SEED INDEX",<p>Weberbauerocereus johnsonii.&nbsp;</p>,,,outofstock
2131-variation-0,2131,Weberbauerocereus johnsonii,,<p>Weberbauerocereus johnsonii.&nbsp;</p>,25 seeds,1.75,outofstock
2132,,Weberbauerocereus weberbaueri,"SEEDS  Cacti U to Z,Cacti Seed List (A to Z),Weberbauerocereus,CACTI SEED INDEX",<p>Weberbauerocereus weberbaueri</p>,,,outofstock
2132-variation-0,2132,Weberbauerocereus weberbaueri,,<p>Weberbauerocereus weberbaueri</p>,500 seeds,20.00,outofstock
2132-variation-1,2132,Weberbauerocereus weberbaueri,,<p>Weberbauerocereus weberbaueri</p>,"1,000 seeds",30.00,outofstock
2133,,Weingartia cintiensis,"SEEDS  Cacti U to Z,Cacti Seed List (A to Z),Weingartia,CACTI SEED INDEX",<p>Weingartia cintiensis</p>,,,instock
2133-variation-0,2133,Weingartia cintiensis,,<p>Weingartia cintiensis</p>,25 seeds,1.5,instock
2133-variation-1,2133,Weingartia cintiensis,,<p>Weingartia cintiensis</p>,100 seeds,3.5,instock
