id,parentProductId,title,categories,description,quantity,price,active,status
4402-variation-0,4402,Opuntia ficus indica,,"<p><strong>Opuntia ficus  indica (Order by the pound with a 3 lb. minimum <strong>@$5.50 Lb.</strong>)<br /></strong></p>
<p>Cactus Food for Reptiles such as Tortoises and Iguanas. Also a popular cactus for human consumption. We grow this cactus without chemicals and eat  ourselves and feed to our own turtles. Opuntias are a  major food source for Tortoises in the wild and are ideal for nearly all Tortoise  species and many other reptiles such as Iguanas and other lizards.&nbsp; High in calcium, vitamin C and fibre. Feed whole pads to  larger reptiles or cut into long strips or cubes about 1/4"" wide for  baby turtles and smaller replies. <br /><br />Feed the cuttings directly to  your reptiles or plant and grow and have a non-ending fresh supply.  Plant is heat  tolerant and requires little to no water. Hardy to 18&deg;F.  Tree like opuntia grows rapidly to 16' tall with heat, water  and sun. <br /><br />Opuntia ficus indica have no large spines. The plant is high in  calcium and fiber and low in protein and fats. Has a long shelf life if  refrigerated after arrival. Can last for weeks or longer properly  stored.</p>",Opuntia ficus indica per pound,5.50,instock,publish
4402-variation-1,4402,Opuntia ficus indica,,"<p><strong>Opuntia ficus  indica (Order by the pound with a 3 lb. minimum <strong>@$5.50 Lb.</strong>)<br /></strong></p>
<p>Cactus Food for Reptiles such as Tortoises and Iguanas. Also a popular cactus for human consumption. We grow this cactus without chemicals and eat  ourselves and feed to our own turtles. Opuntias are a  major food source for Tortoises in the wild and are ideal for nearly all Tortoise  species and many other reptiles such as Iguanas and other lizards.&nbsp; High in calcium, vitamin C and fibre. Feed whole pads to  larger reptiles or cut into long strips or cubes about 1/4"" wide for  baby turtles and smaller replies. <br /><br />Feed the cuttings directly to  your reptiles or plant and grow and have a non-ending fresh supply.  Plant is heat  tolerant and requires little to no water. Hardy to 18&deg;F.  Tree like opuntia grows rapidly to 16' tall with heat, water  and sun. <br /><br />Opuntia ficus indica have no large spines. The plant is high in  calcium and fiber and low in protein and fats. Has a long shelf life if  refrigerated after arrival. Can last for weeks or longer properly  stored.</p>",5 lbs. Opuntia ficus indica,27.50,instock,publish
4402-variation-2,4402,Opuntia ficus indica,,"<p><strong>Opuntia ficus  indica (Order by the pound with a 3 lb. minimum <strong>@$5.50 Lb.</strong>)<br /></strong></p>
<p>Cactus Food for Reptiles such as Tortoises and Iguanas. Also a popular cactus for human consumption. We grow this cactus without chemicals and eat  ourselves and feed to our own turtles. Opuntias are a  major food source for Tortoises in the wild and are ideal for nearly all Tortoise  species and many other reptiles such as Iguanas and other lizards.&nbsp; High in calcium, vitamin C and fibre. Feed whole pads to  larger reptiles or cut into long strips or cubes about 1/4"" wide for  baby turtles and smaller replies. <br /><br />Feed the cuttings directly to  your reptiles or plant and grow and have a non-ending fresh supply.  Plant is heat  tolerant and requires little to no water. Hardy to 18&deg;F.  Tree like opuntia grows rapidly to 16' tall with heat, water  and sun. <br /><br />Opuntia ficus indica have no large spines. The plant is high in  calcium and fiber and low in protein and fats. Has a long shelf life if  refrigerated after arrival. Can last for weeks or longer properly  stored.</p>",10 lbs Opuntia ficus indica,50.00,instock,publish
4403,4403,Seeds Aloe lineata,"Aloe Seeds,SEEDS Succulents A,Succulent Seeds A-Z,SUCCULENT SEED INDEX","<p>Aloe lineata. Collected from the wild, Cape, South Africa.</p>",,,outofstock,private
4403-variation-0,4403,Seeds Aloe lineata,,"<p>Aloe lineata. Collected from the wild, Cape, South Africa.</p>",25 seeds,1.50,outofstock,private
4404,4404,Sonoran Desert Tree Seed Assortment,"Tree Seed Assortments,TREE SEEDS (A to Z),TREE & SHRUB SEED INDEX","<p><strong>Sonoran Desert Tree Seed Assortment:</strong><br />5 packs of seeds with 10 seeds each (50 seeds) $10<br />5 packs of seeds with 25 seeds each (125 seeds) $15<br />5 packs of seeds with 100 seeds each (500 seeds) $45</p>
<p>Olneya tesota (Ironwood)Prosopis pubescens</p>
<p>(Screwbean mesquite)</p>
<p>Prosopis juliflora (Honey mesquite)&nbsp;Cercidium microphyllum (Foothills palo verde)Cercidium floridum (Blue palo verde)</p>
<p>Start you own Sonoran Desert Tree forest with this assortment. Easy to germinate, rapidly growing trees with heat, sun and water.<br /><br />Recommended temperature zones:<br />Sunset: 10-13,27-30 <br />USDA: 8b-11</p>",,,outofstock,private
4404-variation-0,4404,Sonoran Desert Tree Seed Assortment,,"<p><strong>Sonoran Desert Tree Seed Assortment:</strong><br />5 packs of seeds with 10 seeds each (50 seeds) $10<br />5 packs of seeds with 25 seeds each (125 seeds) $15<br />5 packs of seeds with 100 seeds each (500 seeds) $45</p>
<p>Olneya tesota (Ironwood)Prosopis pubescens</p>
<p>(Screwbean mesquite)</p>
<p>Prosopis juliflora (Honey mesquite)&nbsp;Cercidium microphyllum (Foothills palo verde)Cercidium floridum (Blue palo verde)</p>
<p>Start you own Sonoran Desert Tree forest with this assortment. Easy to germinate, rapidly growing trees with heat, sun and water.<br /><br />Recommended temperature zones:<br />Sunset: 10-13,27-30 <br />USDA: 8b-11</p>",6 different packs of 10 seeds,10.00,outofstock,private
4404-variation-1,4404,Sonoran Desert Tree Seed Assortment,,"<p><strong>Sonoran Desert Tree Seed Assortment:</strong><br />5 packs of seeds with 10 seeds each (50 seeds) $10<br />5 packs of seeds with 25 seeds each (125 seeds) $15<br />5 packs of seeds with 100 seeds each (500 seeds) $45</p>
<p>Olneya tesota (Ironwood)Prosopis pubescens</p>
<p>(Screwbean mesquite)</p>
<p>Prosopis juliflora (Honey mesquite)&nbsp;Cercidium microphyllum (Foothills palo verde)Cercidium floridum (Blue palo verde)</p>
<p>Start you own Sonoran Desert Tree forest with this assortment. Easy to germinate, rapidly growing trees with heat, sun and water.<br /><br />Recommended temperature zones:<br />Sunset: 10-13,27-30 <br />USDA: 8b-11</p>",6 different packs of 25 seeds,15.00,outofstock,private
4404-variation-2,4404,Sonoran Desert Tree Seed Assortment,,"<p><strong>Sonoran Desert Tree Seed Assortment:</strong><br />5 packs of seeds with 10 seeds each (50 seeds) $10<br />5 packs of seeds with 25 seeds each (125 seeds) $15<br />5 packs of seeds with 100 seeds each (500 seeds) $45</p>
<p>Olneya tesota (Ironwood)Prosopis pubescens</p>
<p>(Screwbean mesquite)</p>
<p>Prosopis juliflora (Honey mesquite)&nbsp;Cercidium microphyllum (Foothills palo verde)Cercidium floridum (Blue palo verde)</p>
<p>Start you own Sonoran Desert Tree forest with this assortment. Easy to germinate, rapidly growing trees with heat, sun and water.<br /><br />Recommended temperature zones:<br />Sunset: 10-13,27-30 <br />USDA: 8b-11</p>",6 different packs of 100 seeds,40,outofstock,private
5149,5149,Seeds Lithops karasmontana mixed forms,"Lithops Seeds,SEEDS Succulents L,Mesembryanthemum,Succulent Seeds A-Z,SUCCULENT SEED INDEX",<p>Lithops karasmontana mixed forms</p>,,,instock,publish
