id,parentProductId,title,categories,description,quantity,price,active,status
4359,4359,Ferocactus pottsii,"Ferocactus,SEEDS  Cacti F,Cacti Seed List (A to Z),CACTI SEED INDEX",<p>Ferocactus&nbsp;pottsii</p>,,,instock,publish
4359-variation-0,4359,Ferocactus pottsii,,<p>Ferocactus&nbsp;pottsii</p>,25 seeds,1.50,instock,publish
4359-variation-1,4359,Ferocactus pottsii,,<p>Ferocactus&nbsp;pottsii</p>,100 seeds,3.50,instock,publish
4359-variation-2,4359,Ferocactus pottsii,,<p>Ferocactus&nbsp;pottsii</p>,500 seeds,13.50,instock,publish
4359-variation-3,4359,Ferocactus pottsii,,<p>Ferocactus&nbsp;pottsii</p>,"1,000 seeds",20.00,instock,publish
4359-variation-4,4359,Ferocactus pottsii,,<p>Ferocactus&nbsp;pottsii</p>,"5,000 seeds",75.00,instock,publish
4360,4360,Seeds Aloe millotii,"Aloe Seeds,SEEDS Succulents A,Succulent Seeds A-Z,SUCCULENT SEED INDEX",<p>Aloe millotii</p>,,,outofstock,private
4360-variation-0,4360,Seeds Aloe millotii,,<p>Aloe millotii</p>,25 seeds,1.50,outofstock,private
4362,4362,Copiapoa coquimbana,"Copiapoa,SEEDS  Cacti C,Cacti Seed List (A to Z),CACTI SEED INDEX",<p>Copiapoa coquimbana</p>,,,outofstock,private
4362-variation-0,4362,Copiapoa coquimbana,,<p>Copiapoa coquimbana</p>,25 seeds,2,outofstock,private
4363,4363,Copiapoa marginata var. bridgesii,"Copiapoa,SEEDS  Cacti C,Cacti Seed List (A to Z),CACTI SEED INDEX",<p>Copiapoa marginata var. bridgesii</p>,,,outofstock,private
4363-variation-0,4363,Copiapoa marginata var. bridgesii,,<p>Copiapoa marginata var. bridgesii</p>,25 seeds,1.75,outofstock,private
