ID,ItemID,OptionNum,Name,Type,Attributes,Active
49,88,1,Select quantity,Drop Down,"25 seeds:1.25~100 seeds:3.00~500 seeds:10.00~1,000 seeds:17.50~5,000 seeds:65.00",Yes
50,90,1,Sizes Available,Drop Down,25 seeds:1.00~100 seeds:2.50~500 seeds:8.00~1000 seeds:12.00~5000 seeds:45.00~10000 seeds:75.00,Yes
347,381,1,Sizes available,Drop Down,(3) 5-7 inch cuttings:24.00~(1) 5-7 inch cutting:12.50,Yes
4184,4247,1,Select quantity,Drop Down,100 seeds:3.00,Yes
52,94,1,Sizes Available,Drop Down,6 -7 inch plant:75.00,Yes
809,828,1,Sizes available,Drop Down,25 seeds:1.75~100 seeds:5.00~500 seeds:20.00~1000 seeds:35.00,Yes
55,96,1,Sizes available,Drop Down,25 seeds:1.75,Yes
4857,4931,1,Select size,Drop Down,25 seeds:1.75,Yes
56,98,1,Available sizes,Drop Down,25 seeds:1.50~100 seeds:4.00,Yes
57,99,1,Available sizes,Drop Down,25 seeds:1.50~100 seeds:3.50~1 oz. (440 seeds):8.00~4 oz.:25.00~8 oz.:45.00,Yes
58,100,1,Available sizes,Drop Down,25 seeds:1.50,Yes
59,101,1,Available sizes,Drop Down,25 seeds:1.50~100 seeds:3.75~500 seeds:15.00~1000 seeds:25.00,Yes
60,102,1,Available sizes,Drop Down,1/10 oz.:2.00~1 oz.:8.00~4 oz.:20.00~8 oz.:30.00~1 lb.:40.00,Yes
61,103,1,Available sizes,Drop Down,1/10 oz.:2~1 oz.:10~4 oz.:35.00~8 oz.:55.00~1 lb.:90.00,Yes
62,104,1,Available sizes,Drop Down,100 seeds:3.50~1 oz:10.00~4 oz.:16.00~8 oz.:26.00~1 lb.:35.00,Yes
63,105,1,Sizes available,Drop Down,25 seeds:1.50,Yes
346,91,1,Sizes Available,Drop Down,6-7 inch rooted plant:35.00,Yes
65,111,1,Sizes available,Drop Down,25 seeds:1.50~100 seeds:3.50~1 oz.:40.00,Yes
66,112,1,Available sizes,Drop Down,25 seeds:1.75~100 seeds:5.00~500 seeds:20.00,Yes
